Station Name,lovelyDay871,,,,,,
Download Time,Sun Feb 18 2018 16:59:12 GMT-0600,,,,,,
,,,,,,,
N,Date,Temp F,Temp C,Flow l/s,Pump,dhtTemp C,dhtRH %
163,Sun Feb 18 2018 16:58:00 GMT-0600,82,27.45,0.67,1,21.7,39.3
164,Sun Feb 18 2018 16:58:01 GMT-0600,80.15,26.35,0.67,1,21.7,39.3
165,Sun Feb 18 2018 16:58:02 GMT-0600,80.83,27.9,0.67,1,21.7,39.3
166,Sun Feb 18 2018 16:58:03 GMT-0600,82.9,28.49,0.67,1,21.7,39.4
167,Sun Feb 18 2018 16:58:04 GMT-0600,79.56,27.45,0.67,1,21.7,39.4
168,Sun Feb 18 2018 16:58:05 GMT-0600,81.05,27.66,0.66,1,21.7,39.4
169,Sun Feb 18 2018 16:58:06 GMT-0600,81.05,27.95,0.67,1,21.7,39.5
170,Sun Feb 18 2018 16:58:07 GMT-0600,80.67,27.01,0.67,1,21.7,39.5
171,Sun Feb 18 2018 16:58:08 GMT-0600,83.98,27.13,0.67,1,21.7,39.5
172,Sun Feb 18 2018 16:58:09 GMT-0600,81.05,27.25,0.67,1,21.7,39.6
173,Sun Feb 18 2018 16:58:10 GMT-0600,80.67,29.08,0.67,1,21.7,39.6
174,Sun Feb 18 2018 16:58:11 GMT-0600,82.16,27.13,0.67,1,21.7,39.7
175,Sun Feb 18 2018 16:58:12 GMT-0600,81.27,28.1,0.67,1,21.7,39.7
176,Sun Feb 18 2018 16:58:13 GMT-0600,81.05,26.92,0.67,1,21.7,39.7
177,Sun Feb 18 2018 16:58:14 GMT-0600,81.63,27.78,0.67,1,21.7,39.7
178,Sun Feb 18 2018 16:58:15 GMT-0600,79.86,27.45,0.67,1,21.7,39.7
179,Sun Feb 18 2018 16:58:16 GMT-0600,81.63,27.99,0.67,1,21.7,39.7
180,Sun Feb 18 2018 16:58:17 GMT-0600,81.63,26.92,0.67,1,21.7,39.7
181,Sun Feb 18 2018 16:58:18 GMT-0600,81.41,27.45,0.67,1,21.7,39.7
182,Sun Feb 18 2018 16:58:19 GMT-0600,81.63,28.28,0.67,1,21.7,39.7
183,Sun Feb 18 2018 16:58:20 GMT-0600,81.05,27.45,0.67,1,21.7,39.7
184,Sun Feb 18 2018 16:58:21 GMT-0600,78.69,27.45,0.67,1,21.7,39.7
185,Sun Feb 18 2018 16:58:22 GMT-0600,82.22,28.61,0.66,1,21.7,39.7
186,Sun Feb 18 2018 16:58:23 GMT-0600,81.63,27.13,0.67,1,21.7,39.7
187,Sun Feb 18 2018 16:58:24 GMT-0600,82.38,27.57,0.67,1,21.7,39.7
188,Sun Feb 18 2018 16:58:25 GMT-0600,81.41,27.57,0.67,1,21.7,39.7
189,Sun Feb 18 2018 16:58:26 GMT-0600,81.41,27.25,0.67,1,21.7,39.7
190,Sun Feb 18 2018 16:58:27 GMT-0600,81.63,28.1,0.67,1,21.7,39.7
191,Sun Feb 18 2018 16:58:28 GMT-0600,81.05,27.78,0.66,1,21.7,39.8
192,Sun Feb 18 2018 16:58:29 GMT-0600,82.22,27.13,0.66,1,21.7,39.8
